context,from,to,weight
national-dementia-carers-2018,costless2016,alzheimerssoc,4
16-days-of-action-2018,chpvic,dvrcv,2
ocd-awareness-week-2018,emilemilyyyy,lwbean,2
16-days-of-action-2018,thefirstwives,CountDeadWomen,1
brain-awareness-week-2018,jimjohnsonsci,pknoepfler,2
mental-health-awareness-week-2018,annatavince90,ThisIsMattiejas,2
brain-awareness-week-2018,thehitman29,modcanada,2
time-to-talk-day-2018,edithba50246991,higeorgeshelley,1
national-dyslexia-week-2018,langteachersire,NessyLearning,2
eating-disorder-awareness-week-2018,zodiacreverie,GRLSWhoCreate,1
brain-injury-week-2018,headwaycardiff,HeadwayCardiff,1
experience-of-care-week-2018,michellegpeters,VirginiaMason,1
wear-purple-for-jia-2018,rheumjnl,Ed_Miliband,2
carers-week-2018,elsjonker,childrensociety,2
national-dementia-carers-2018,purehomecare,DementiaUK,2
brain-injury-week-2018,northeastcoppa,IM_KimFryer,1
no-smoking-day-2018,1234devine,YSmokefree,2
dry-january-2018,amydacre1,ChocTradingCo,2
wear-purple-for-jia-2018,elenanikiuk,JIA_NRAS,1
epilepsy-awareness-purple-day-2018,manzanomyrna,MaiDenFan619,2
brain-injury-week-2018,norfolkwheadway,HatchBrenner,1
stress-awareness-day,buielindaa,AustraliaZoo,1
wear-purple-for-jia-2018,liscordingley,JIA_NRAS,1
ocd-awareness-week-2018,hoodiemeerkat,lwbean,2
stress-awareness-day,katdaz01,NHSuk,2
elf-day,cathmcgovern1,thesovrangroup,2
wear-purple-for-jia-2018,uommskresearch,CapsieNair,2
national-dyslexia-week-2018,itim18882,thinkpix_suze,2
elf-day,tanyapetkova5,PCsDRAG0N,2
eating-disorder-awareness-week-2018,bbhorne,PennyRed,2
ovarian-cancer-awareness-month-2018,slaggerifical,TargetOvarian,1
national-dyslexia-week-2018,technativewire,akwyz,2
nutrition-and-hydration-week-2018,mynameisandyj,gillogden66,1
ocd-awareness-week-2018,_inaris,lwbean,2
mnd-awareness-month-2018,bigronstevenson,MNDAEastSussex,6
16-days-of-action-2018,eraaustralia,GirlGuidesWA,2
dry-january-2018,sassie_clarke,ChocTradingCo,2
national-dementia-carers-2018,srccg,SweetTreeHCS,1
rare-disease-day-2018,selvisvision,TPTgeneral,2
brain-awareness-week-2018,mariateresaes,AmilaSuljevic,2
16-days-of-action-2018,canhcza,CanadaDev,2
mental-health-awareness-week-2018,chloevardy1,allontheboard,3
time-to-talk-day-2018,dyslexiagcc,seemescotland,2
brain-awareness-week-2018,asamiaomame,pintofscience,1
carers-week-2018,suedewhirst1,Suedewhirst1,1
epilepsy-awareness-purple-day-2018,legitcassiewil,TiffanyKairos,2
rare-disease-day-2018,emunoz8_munoz,RVAwonk,2
carers-week-2018,mikequalitin,OfficersAssoc,2
carers-week-2018,fionahayllar,WillesdenSC,1
epilepsy-awareness-purple-day-2018,epilepsy_durham,PickeringTC,1
time-to-talk-day-2018,lisamun,MediaComUK,2
mnd-awareness-month-2018,1visionhealth,DrNikSharma,1
wear-purple-for-jia-2018,ismartresearch,strat_observer,1
experience-of-care-week-2018,jocelyncornwell,clairejukesy,1
rare-disease-day-2018,obishop4800,RareDiseases,2
brain-injury-week-2018,global_bia,cbituk,1
experience-of-care-week-2018,trumperb,UHBristolNHS,2
brain-awareness-week-2018,mnrajah,rosanna_olsen,2
dementia-action-week-2018,drivenbyhealth1,SMT_DavidW,2
national-dementia-carers-2018,lemsonjase,alzheimerssoc,2
elf-day,thomasm69695891,thesovrangroup,2
jeans-for-genes-day,epgumbley,WGSManchester,2
dry-january-2018,eilstaypositive,SeedlipDrinks,1
brain-awareness-week-2018,cghosh_,pknoepfler,2
time-to-talk-day-2018,grantdiemgrant,TrishaL8,2
nutrition-and-hydration-week-2018,mynameisandyj,SisterKatie1,2
mens-health-week-2018,sarah13marston,VersusArthritis,1
national-dyslexia-week-2018,andhaw,Jisc,2
16-days-of-action-2018,charles_cobblah,WorldBank,2
dry-january-2018,altyflowersmith,ReserveAlty,2
jeans-for-genes-day,drdebd,MrsAnneTwist,2
no-smoking-day-2018,pharmforumni,publichealthni,2
elf-day,awpnhs,Headlightorguk,1
ovarian-cancer-awareness-month-2018,latoyiadennis,wrappedupnu,2
mens-health-week-2018,sullivanmonty,AntonJGunn,1
16-days-of-action-2018,christi29354231,DogsTrust,2
experience-of-care-week-2018,nobismhealth,EMSsurveyteam,2
nutrition-and-hydration-week-2018,jeremyn1000,NHSChoices,1
brain-injury-week-2018,headwaysuffolk,Diss_Express,1
national-dementia-carers-2018,carequalitycomm,CareQualityComm,2
carers-week-2018,jimmytabuk,theSNP,2
